"Sky Reference Number - Outlet","Marketing tag"
"101373600004","PPV Froch Targets - Silo1"
"101376100004","PPV Froch Targets - Silo1"
"101377700004","PPV Froch Targets - Silo1"
"101391000004","PPV Froch Targets - Silo1"
"101402200004","PPV Froch Targets - Silo1"
"101414700004","PPV Froch Targets - Silo1"
"101418300004","PPV Froch Targets - Silo1"
"101421200004","PPV Froch Targets - Silo1"
"101422800004","PPV Froch Targets - Silo1"
"101427000004","PPV Froch Targets - Silo1"
"101443300004","PPV Froch Targets - Silo1"
"101450400004","PPV Froch Targets - Silo1"
"101459500004","PPV Froch Targets - Silo1"
"101464800004","PPV Froch Targets - Silo1"
"101469900004","PPV Froch Targets - Silo1"
"101476300004","PPV Froch Targets - Silo1"
"101482600004","PPV Froch Targets - Silo1"
"101489500004","PPV Froch Targets - Silo1"
"101494100004","PPV Froch Targets - Silo1"
