Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
114406500004,37,39,,,,,,
115868500004,37,39,,,,,,
115953200004,37,39,,,,,,
116120300004,37,39,,,,,,
117037500004,37,39,,,,,,
117220700004,37,39,,,,,,
117347200004,37,39,,,,,,
118938400004,37,39,,,,,,
119760900004,37,39,,,,,,
121906300004,37,39,,,,,,
129233900004,37,39,,,,,,
129612900004,37,39,,,,,,
130619100004,37,39,,,,,,
131929000004,37,39,,,,,,
132946200004,37,39,,,,,,
134369200004,37,39,,,,,,
134409600004,37,39,,,,,,
134752100004,37,39,,,,,,
134866200004,37,39,,,,,,
135238100004,37,39,,,,,,
135477400004,37,39,,,,,,
136769000004,37,39,,,,,,
137323400004,37,39,,,,,,
137414400004,37,39,,,,,,
137601800004,37,39,,,,,,
137672900004,37,39,,,,,,
138569900004,37,39,,,,,,
141970400004,37,39,,,,,,
142219800004,37,39,,,,,,
142444600004,37,39,,,,,,
142525500004,37,39,,,,,,
180772000004,37,39,,,,,,
184997200004,37,39,,,,,,
106437800004,35,39,,,,,,
106512700004,35,39,,,,,,
106809400004,35,39,,,,,,
108538200004,35,39,,,,,,
109049200004,35,39,,,,,,
110419100004,35,39,,,,,,
110679600004,35,39,,,,,,
110781800004,35,39,,,,,,
110909500004,35,39,,,,,,
112847500004,35,39,,,,,,
114025900004,35,39,,,,,,
114155500004,35,39,,,,,,
118171400004,35,39,,,,,,
119716400004,35,39,,,,,,
119749900004,35,39,,,,,,
120309300004,35,39,,,,,,
100472900004,9999,40,,,,,,
180195000004,9999,40,,,,,,
182235400004,9999,40,,,,,,
184447700004,9999,40,,,,,,
104105000004,9998,40,,,,,,
180408000004,9998,40,,,,,,
185120600004,9998,40,,,,,,
100028900013,9997,40,,,,,,
105525900004,9997,40,,,,,,
100163700004,75,40,,,,,,
101386300004,75,40,,,,,,
101413900004,75,40,,,,,,
101943900004,75,40,,,,,,
102121100004,75,40,,,,,,
103194500004,75,40,,,,,,
103888200004,75,40,,,,,,
105616300004,75,40,,,,,,
105857300004,75,40,,,,,,
107322800004,75,40,,,,,,
110819700004,75,40,,,,,,
111208300004,75,40,,,,,,
112087900004,75,40,,,,,,
113899700004,75,40,,,,,,
114163000004,75,40,,,,,,
117440300004,75,40,,,,,,
117907100004,75,40,,,,,,
119901000004,75,40,,,,,,
128024700004,75,40,,,,,,
133879300004,75,40,,,,,,
135595700004,75,40,,,,,,
137659000004,75,40,,,,,,
142647300004,75,40,,,,,,
180507100004,75,40,,,,,,
180740000004,75,40,,,,,,
180799000004,75,40,,,,,,
180821600070,75,40,,,,,,
180886600004,75,40,,,,,,
180964600004,75,40,,,,,,
181307200004,75,40,,,,,,
181331500004,75,40,,,,,,
181381400004,75,40,,,,,,
181393200004,75,40,,,,,,
181400102446,75,40,,,,,,
181400102992,75,40,,,,,,
181935500004,75,40,,,,,,
181965400004,75,40,,,,,,
182140300004,75,40,,,,,,
182601100004,75,40,,,,,,
182683100019,75,40,,,,,,
182968700008,75,40,,,,,,
183186200004,75,40,,,,,,
183517100004,75,40,,,,,,
183758500004,75,40,,,,,,
183828800004,75,40,,,,,,
183840600004,75,40,,,,,,
183866200004,75,40,,,,,,
183995900004,75,40,,,,,,
184235600004,75,40,,,,,,
184260000004,75,40,,,,,,
184274800004,75,40,,,,,,
184285100004,75,40,,,,,,
184293400004,75,40,,,,,,
184438000004,75,40,,,,,,
184600100004,75,40,,,,,,
184665700004,75,40,,,,,,
184722900004,75,40,,,,,,
184734100004,75,40,,,,,,
184856200004,75,40,,,,,,
185101300004,75,40,,,,,,
100825300004,47,40,,,,,,
118957300004,47,40,,,,,,
121814300004,47,40,,,,,,
142697100004,45,40,,,,,,
104668000004,40,40,,,,,,
105707200004,40,40,,,,,,
106650500004,40,40,,,,,,
118499500004,40,40,,,,,,
119729100004,40,40,,,,,,
119747900004,40,40,,,,,,
124265200004,40,40,,,,,,
129514300004,40,40,,,,,,
130219000004,40,40,,,,,,
130318600004,40,40,,,,,,
137709100004,40,40,,,,,,
139331000004,40,40,,,,,,
139510800004,40,40,,,,,,
139587900004,40,40,,,,,,
140095400004,40,40,,,,,,
101565700004,37,40,,,,,,
102157900004,37,40,,,,,,
104972500004,37,40,,,,,,
105861400004,37,40,,,,,,
110278300004,37,40,,,,,,
111080200004,37,40,,,,,,
111476000004,37,40,,,,,,
114900900004,37,40,,,,,,
115134600004,37,40,,,,,,
117762000004,37,40,,,,,,
133328800004,37,40,,,,,,
135278800004,37,40,,,,,,
136999500004,37,40,,,,,,
138449600004,37,40,,,,,,
139996900004,37,40,,,,,,
140495100004,37,40,,,,,,
184958300004,37,40,,,,,,
100032400294,35,40,,,,,,
102928600004,35,40,,,,,,
103882700004,35,40,,,,,,
104896600004,35,40,,,,,,
106496800004,35,40,,,,,,
106857800004,35,40,,,,,,
111620000004,35,40,,,,,,
123488400004,35,40,,,,,,
